,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,filename,patch_no,inval_pixels
89,89,89,89,89.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,89.0,0.0
90,90,90,90,90.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,90.0,0.0
91,91,91,91,91.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,91.0,0.0
92,92,92,92,92.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,92.0,0.0
93,93,93,93,93.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,93.0,0.0
94,94,94,94,94.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,94.0,0.0
95,95,95,95,95.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,95.0,0.0
96,96,96,96,96.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,96.0,0.0
97,97,97,97,97.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,97.0,0.0
98,98,98,98,98.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,98.0,0.0
99,99,99,99,99.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,99.0,0.0
100,100,100,100,100.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,100.0,0.0
101,101,101,101,101.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,101.0,0.0
102,102,102,102,102.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,102.0,0.0
103,103,103,103,103.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,103.0,0.0
104,104,104,104,104.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,104.0,0.0
105,105,105,105,105.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,105.0,0.0
106,106,106,106,106.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,106.0,0.0
107,107,107,107,107.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,107.0,0.0
108,108,108,108,108.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,108.0,0.0
109,109,109,109,109.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,109.0,0.0
110,110,110,110,110.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,110.0,0.0
111,111,111,111,111.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,111.0,0.0
112,112,112,112,112.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,112.0,0.0
113,113,113,113,113.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,113.0,0.0
114,114,114,114,114.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,114.0,0.0
115,115,115,115,115.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,115.0,0.0
116,116,116,116,116.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,116.0,0.0
117,117,117,117,117.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,117.0,0.0
118,118,118,118,118.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,118.0,0.0
119,119,119,119,119.0,MOD021KM.A2000260.0000.061.2017175004738.hdf,119.0,0.0
120,120,120,120,120.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,0.0,0.0
121,121,121,121,121.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,1.0,0.0
122,122,122,122,122.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,2.0,0.0
123,123,123,123,123.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,3.0,0.0
124,124,124,124,124.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,4.0,0.0
125,125,125,125,125.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,5.0,0.0
126,126,126,126,126.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,6.0,0.0
127,127,127,127,127.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,7.0,0.0
128,128,128,128,128.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,8.0,0.0
129,129,129,129,129.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,9.0,0.0
130,130,130,130,130.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,10.0,0.0
131,131,131,131,131.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,11.0,0.0
132,132,132,132,132.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,12.0,0.0
133,133,133,133,133.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,13.0,0.0
134,134,134,134,134.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,14.0,0.0
135,135,135,135,135.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,15.0,0.0
136,136,136,136,136.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,16.0,0.0
137,137,137,137,137.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,17.0,0.0
138,138,138,138,138.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,18.0,0.0
139,139,139,139,139.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,19.0,0.0
140,140,140,140,140.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,20.0,0.0
141,141,141,141,141.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,21.0,0.0
142,142,142,142,142.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,22.0,0.0
143,143,143,143,143.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,23.0,0.0
144,144,144,144,144.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,24.0,0.0
145,145,145,145,145.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,25.0,0.0
146,146,146,146,146.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,26.0,0.0
147,147,147,147,147.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,27.0,0.0
148,148,148,148,148.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,28.0,0.0
149,149,149,149,149.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,29.0,0.0
150,150,150,150,150.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,30.0,0.0
151,151,151,151,151.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,31.0,0.0
152,152,152,152,152.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,32.0,0.0
153,153,153,153,153.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,33.0,0.0
154,154,154,154,154.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,34.0,0.0
155,155,155,155,155.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,35.0,0.0
156,156,156,156,156.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,36.0,0.0
157,157,157,157,157.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,37.0,0.0
158,158,158,158,158.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,38.0,0.0
159,159,159,159,159.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,39.0,0.0
160,160,160,160,160.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,40.0,0.0
161,161,161,161,161.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,41.0,0.0
162,162,162,162,162.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,42.0,0.0
163,163,163,163,163.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,43.0,0.0
164,164,164,164,164.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,44.0,0.0
165,165,165,165,165.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,45.0,0.0
166,166,166,166,166.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,46.0,0.0
167,167,167,167,167.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,47.0,0.0
168,168,168,168,168.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,48.0,0.0
169,169,169,169,169.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,49.0,0.0
170,170,170,170,170.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,50.0,0.0
171,171,171,171,171.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,51.0,0.0
172,172,172,172,172.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,52.0,0.0
173,173,173,173,173.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,53.0,0.0
174,174,174,174,174.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,54.0,0.0
175,175,175,175,175.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,55.0,0.0
176,176,176,176,176.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,56.0,0.0
177,177,177,177,177.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,57.0,0.0
178,178,178,178,178.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,58.0,0.0
179,179,179,179,179.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,59.0,0.0
180,180,180,180,180.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,60.0,0.0
181,181,181,181,181.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,61.0,0.0
182,182,182,182,182.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,62.0,0.0
183,183,183,183,183.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,63.0,0.0
184,184,184,184,184.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,64.0,0.0
185,185,185,185,185.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,65.0,0.0
186,186,186,186,186.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,66.0,0.0
187,187,187,187,187.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,67.0,0.0
188,188,188,188,188.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,68.0,0.0
189,189,189,189,189.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,69.0,0.0
190,190,190,190,190.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,70.0,0.0
191,191,191,191,191.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,71.0,0.0
192,192,192,192,192.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,72.0,0.0
193,193,193,193,193.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,73.0,0.0
194,194,194,194,194.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,74.0,0.0
195,195,195,195,195.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,75.0,0.0
196,196,196,196,196.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,76.0,0.0
197,197,197,197,197.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,77.0,0.0
198,198,198,198,198.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,78.0,0.0
199,199,199,199,199.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,79.0,0.0
200,200,200,200,200.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,80.0,0.0
201,201,201,201,201.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,81.0,0.0
202,202,202,202,202.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,82.0,0.0
203,203,203,203,203.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,83.0,0.0
204,204,204,204,204.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,84.0,0.0
205,205,205,205,205.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,85.0,0.0
206,206,206,206,206.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,86.0,0.0
207,207,207,207,207.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,87.0,0.0
208,208,208,208,208.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,88.0,0.0
209,209,209,209,209.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,89.0,0.0
210,210,210,210,210.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,90.0,0.0
211,211,211,211,211.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,91.0,0.0
212,212,212,212,212.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,92.0,0.0
213,213,213,213,213.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,93.0,0.0
214,214,214,214,214.0,MOD021KM.A2004069.2210.061.2017199031829.hdf,94.0,0.0
