filename,patch_no,inval_pixels,fraction_invalid
MOD021KM.A2001162.0635.061.2017173011938.hdf,85,3,3.048687540014024e-05
MOD021KM.A2001162.0640.061.2017173012043.hdf,64,3,3.048687540014024e-05
MOD021KM.A2001162.0645.061.2017173011914.hdf,8,301,0.0030588498318140705
MOD021KM.A2001162.0700.061.2017173011948.hdf,24,20,0.00020324583600093494
MOD021KM.A2001162.0710.061.2017173011827.hdf,50,2,2.0324583600093494e-05
MOD021KM.A2001162.0800.061.2017173011944.hdf,0,5,5.0811459000233734e-05
MOD021KM.A2001162.0820.061.2017173011847.hdf,40,3,3.048687540014024e-05
MOD021KM.A2001162.0825.061.2017173011947.hdf,3,75,0.000762171885003506
MOD021KM.A2001162.0830.061.2017173011948.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2001162.0835.061.2017173011850.hdf,0,180,0.0018292125240084143
MOD021KM.A2001162.0840.061.2017173010549.hdf,0,80,0.0008129833440037398
MOD021KM.A2001162.0845.061.2017173010441.hdf,1,60,0.0006097375080028048
MOD021KM.A2001162.0850.061.2017173010436.hdf,2,5,5.0811459000233734e-05
MOD021KM.A2001162.0940.061.2017173010642.hdf,0,13,0.0001321097934006077
MOD021KM.A2001162.0950.061.2017173010739.hdf,52,1,1.0162291800046747e-05
MOD021KM.A2001162.0955.061.2017173010617.hdf,30,2,2.0324583600093494e-05
MOD021KM.A2001162.1010.061.2017173010420.hdf,30,80,0.0008129833440037398
MOD021KM.A2001162.1015.061.2017173010428.hdf,0,20,0.00020324583600093494
MOD021KM.A2001162.1020.061.2017173010434.hdf,13,3,3.048687540014024e-05
MOD021KM.A2001162.1025.061.2017173011039.hdf,129,2,2.0324583600093494e-05
MOD021KM.A2001162.1120.061.2017173010402.hdf,0,1,1.0162291800046747e-05
MOD021KM.A2001162.1130.061.2017173010620.hdf,75,1,1.0162291800046747e-05
MOD021KM.A2001162.1135.061.2017173010822.hdf,58,3,3.048687540014024e-05
MOD021KM.A2001162.1145.061.2017173010855.hdf,15,1,1.0162291800046747e-05
MOD021KM.A2001162.1150.061.2017173010454.hdf,0,115,0.0011686635570053758
MOD021KM.A2001162.1155.061.2017173010427.hdf,0,40,0.0004064916720018699
MOD021KM.A2001162.1200.061.2017173011005.hdf,0,11,0.00011178520980051422
MOD021KM.A2001162.1205.061.2017173011140.hdf,23,1,1.0162291800046747e-05
MOD021KM.A2001162.1255.061.2017173010418.hdf,6,3,3.048687540014024e-05
MOD021KM.A2001162.1305.061.2017173010408.hdf,59,4,4.064916720018699e-05
